id,question,answer,citations,status,notes
85,What instruction governs credentialing and privileging?,"tion for our beneficiaries; outlines use of alternative portals such as Army Medicine Secure Messaging, Nurse Advice Line and TRICARE Online; specific procedures are also identified to correctly transfer calls in accordance with existing access to care standards, referral management protocols, and proper use of managing clinic schedules to ensure appointing success the first time one of our patients seeks access.</td>

                                    <td>04/02/2015</td>

                                        <td>Army</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Instruction</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2015/03/27/Credentialing-and-Privileging-Program"" target=&quot;_blank&quot;>6010.03</a>

                                            </td>

                                                                            <td>Credentialing and Privileging Program</td>

                                    <td>This instruction <td>Credentialing and Privileging Program</td>

                                    <td>This instruction updates and reissue policy and procedures for the Credentialing and Privileging Program for the Department of the Navy as part of the DON Clinical Quality Management Program (CQMP).</td>

                                    <td>03/27/2015</td>

                                        <td></td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Instruction</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2015/03/17/AF-Instruction-Medical-Care-Management"" target=&quot;_blank&quot;>44-102</a>

                                            </td>

                                                                            <td>Medical Care Management</td>

                                    <td>This instruction implements Air Force Policy Directive (AFPD) 44-1, Medical Operations, an s=""itemLink"" href=""/Reference-Center/Policies/2021/01/04/MOU-Sharing-of-Credentialing-Data"" ></a>

                                            </td>

                                                                            <td>Sharing of Credentialing Data</td>

                                    <td>This Memorandum of Understanding (MOU) is intended to facilitate the credentialing of health care providers between the Department of Veterans Affairs (VA) and the Department of Defense (DoD). This MOU establishes the guidelines for sharing the credentialing data, collected and verified by one Department with the other, which will expedite the appointment process of those providers who are shared across Departments.</td>

                                    <td>01/04/2021</td>

                                        <td>DoD, VA</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Instruction</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2020/12/0 enter/Policies/2008/08/26/Credentialing---Authorization-of-Providers-on-Operational-Platforms"" >08-009</a>

                                            </td>

                                                                            <td>Credentialing and Authorization of Providers on Operational Platforms</td>

                                    <td>For humanitarian assistance involving the delivery of medical care and under the authority outlined in Reference (a), this policy specifies the responsibilities and documentation required for providers to be credentialed

and authorized to participate in foreign humanitarian missions. </td>

                                    <td>08/26/2008</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2008/07/29/Policy-for-Increase-in-the-Maximum-Annual-Amount-Paid-Under-Active-Duty-HP","DHA Policies Directory — DHA Policies Directory — section.tion for our beneficiaries; outlines use of alternative portals such as Army Medicine Secure Messaging, Nurse Advice Lin — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.<td>Credentialing and Privileging Program</td> — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.s=""itemLink"" href=""/Reference-Center/Policies/2021/01/04/MOU-Sharing-of-Credentialing-Data"" ></a> — https://www.health.mil/Reference-Center/Policies",OK,Extracted from top-ranked chunks.
86,What policy governs inspection readiness?,"Readiness data is acquired using the ERRO Report. Maintain copies on file for at least 2 years 
IAW AF RDS. (T-1) Equipment in SG-directed assemblages and production builds are not 
required to be kept ready and will not take priority over assemblage maintenance services. These assets are not reported for Force Readiness Reporting. Deployed Equipment Operator Responsibilities. Equipment operators will:  
9.3.1.",DAFI41-230 — dafi41-230 — section.by the AMO. — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf,OK,Extracted from top-ranked chunks.
87,What AFI governs medical facility accreditation?,"Education, Accreditation Council for Graduate Medical Educa tion ( ACGME), the American 
Dental Association Commission on Dental Accreditation, The Joint Commission Accreditation 
Manuals; published standards of the American Nurses Association ( ANA) for nursing services, 
practice and care; published standards of oth er national professional nursing organizations; and 
Department of Defense/Defense Health Agency policies. It establishes policy, assigns 
responsibilities and prescribes procedures for Air Force medical officer education programs. This 
instruction applies t o all medical service officers of the Regular Air Force, Air Force Reserve, and 
Air National Guard. This publication does not apply to the United States Space Force. This Air 
Force Instruction ( AFI) may be supplemented at any level, but all supplements t hat directly 
implement his publication must be routed to AF/SG1D, Medical Force Development, for 
coordination prior to certification and approval. The authorities to waive wing or unit level 
requirements in this publication are identified with a Tier (“ T-0, T-1, T-2, T-3”) number following 
the compliance statement.","AFI41-117 — afi41-117 — section.Education, Accreditation Council for Graduate Medical Educa tion ( ACGME), the American — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-117.pdf",OK,Extracted from top-ranked chunks.
88,What guidance governs sentinel event reporting?,"in Reference (b), members of the Uniformed Services are entitled to medical and dental care in military treatment facilities and also in private facilities (purchased care) using Supplemental Health Care Program funds. </td>

                                    <td>02/21/2012</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Guideline</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2012/02/13/Amplifying-Guidance-Relating-to-the-Reporting-of-Sentinel-Events-and-Personally-Identifiable-Informa"" >HA-Policy 12-003</a>

                                            </td>

                                                                            <td>Amplifying Guidance Relating to the Reporting of Sentinel Events and Personally Identifiable Information Breaches to the Office of the Assistant Secretary of Defense (Health Affairs)</td>

                                    <td>This memorandu s and Personally Identifiable Information Breaches to the Office of the Assistant Secretary of Defense (Health Affairs)</td>

                                    <td>This memorandum discusses guidance relating to the reporting of sentinel events and PII breaches to the OASD(HA).</td>

                                    <td>02/13/2012</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2012/02/13/Board-Certification-Pay-for-Non-Physician-Health-Care-Providers"" >HA-Policy 12-002</a>

                                            </td>

                                                                            <td>Board Certification Pay for Non-Physician Health Care Providers</td>

                                    <td>This memorandum promulgates policy guidance for the implementation of non-physician health care provider boar <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2004/07/13/Policy-on-Reporting-Joint-Commission-on-Accreditation-of-Healthcare-Organizations-Reviewable-Sentine"" >04-018</a>

                                            </td>

                                                                            <td>Policy on Reporting Joint Commission on Accreditation of Healthcare Organizations-Reviewable Sentinel Events in the Military Health System</td>

                                    <td>Policy on Reporting Joint Commission on Accreditation of Healthcare Organizations-Reviewable Sentinel Events in the Military Health System</td>

                                    <td>07/13/2004</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2004/07/12/Poli <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2012/05/21/Revised-Service-Guidelines-for-Reportable-Medical-Events"" ></a>

                                            </td>

                                                                            <td>Revised Service Guidelines for Reportable Medical Events</td>

                                    <td>The Armed Forces Health Surveillance Center and a Public Health Forum working group developed revisions to the Reportable Medical Events Guidelines used by the Services.</td>

                                    <td>05/21/2012</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2012/05/14/Revised-Policy-for-Active-Duty-Health-Professions-Financial-Assistance-Program-Stip report will be cut and 
pasted into Essentris; otherwise, provider will place report directly into Essentris.","DHA Policies Directory — DHA Policies Directory — section.in Reference (b), members of the Uniformed Services are entitled to medical and dental care in military treatment facili — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.s and Personally Identifiable Information Breaches to the Office of the Assistant Secretary of Defense (Health Affairs)< — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.<td> — https://www.health.mil/Reference-Center/Policies",OK,Extracted from top-ranked chunks.
89,What instruction governs infection prevention programs?,"ed continuing education and in-service training programs and training information to leaders, health care providers, Department of Defense Service members, and Veterans Affairs (VA) staff via DOD/VHA Distributed Learning Architecture.</td>

                                    <td>06/06/2012</td>

                                        <td>DoD, VA</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2012/05/22/Reporting-Infection-Prevention-and-Control-Data-to-the-Centers-for-Disease-Control-and-Prevention-us"" >12-005</a>

                                            </td>

                                                                            <td>Reporting Infection Prevention and Control Data to the Centers for Disease Control and Prevention using the National Healthcare Safety Network 12-005</td>

                                    <td>The purpose of this memorandum is to update Heal Parts 160 and 164 for additional information. </td>

                                    <td>05/01/2014</td>

                                        <td></td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Instruction</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2014/04/28/Health-Promotion-and-Disease-Prevention"" target=&quot;_blank&quot;>DODI 1010.10</a>

                                            </td>

                                                                            <td>Health Promotion and Disease Prevention</td>

                                    <td>This instruction reissues DOD Directive 1010.10 (Reference (a)) as a DOD instruction (DoDI) in accordance with the authority in DODD 5124.02 (Reference (b)) to establish policy and assign responsibilities for health promotion and disease prevention in accordance with References (c) through (f).</td>

                                    <td>04/28/2014</ <a class=""itemLink"" href=""/Reference-Center/Policies/2002/10/02/Policy-for-the-Use-of-Influenza-Vaccine---2002-2003-Influenza-Season"" >02-019</a>

                                            </td>

                                                                            <td>Policy for the Use of Influenza Vaccine - 2002-2003 Influenza Season</td>

                                    <td>Policy for the Use of Influenza Vaccine - 2002-2003 Influenza Season</td>

                                    <td>10/02/2002</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Guideline</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2002/09/27/Handling-Procedures-for-Equipment-Contaminated-with-Depleted-Uranium-or-Radioactive-Commodities"" target=&quot;_blank&quot;>PAM 700-48</a>

                                            </td> w"">Instruction</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2020/03/06/DoDI-5200-48-Controlled-Unclassified-Information"" target=&quot;_blank&quot;>DODI 5200.48</a>

                                            </td>

                                                                            <td>Controlled Unclassified Information</td>

                                    <td>This issuance establishes policy, assigns responsibilities, and prescribes procedures for CUI throughout the DOD in accordance with Executive Order (E.O.) 13556; Part 2002 of Title 32, Code of Federal Regulations (CFR); and Defense Federal Acquisition Regulation Supplement (DFARS) Sections 252.204-7008 and 252.204-7012. It also establishes the official DOD CUI Registry.</td>

                                    <td>03/06/2020</td>

                                        <td>DoD</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Instruction</th>","DHA Policies Directory — DHA Policies Directory — section.ed continuing education and in-service training programs and training information to leaders, health care providers, Dep — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.entity. Refer to 45 C.F.R. Parts 160 and 164 for additional information. </td> — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.<a class=""itemLink"" href=""/Reference-Center/Policies/2002/10/02/Policy-for-the-Use-of-Influenza-Vaccine---2002-2003-Infl — https://www.health.mil/Reference-Center/Policies",OK,Extracted from top-ranked chunks.
90,What policy governs patient safety reporting systems?,"<td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2004/07/13/Policy-on-Reporting-Joint-Commission-on-Accreditation-of-Healthcare-Organizations-Reviewable-Sentine"" >04-018</a>

                                            </td>

                                                                            <td>Policy on Reporting Joint Commission on Accreditation of Healthcare Organizations-Reviewable Sentinel Events in the Military Health System</td>

                                    <td>Policy on Reporting Joint Commission on Accreditation of Healthcare Organizations-Reviewable Sentinel Events in the Military Health System</td>

                                    <td>07/13/2004</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2004/07/12/Poli in Reference (b), members of the Uniformed Services are entitled to medical and dental care in military treatment facilities and also in private facilities (purchased care) using Supplemental Health Care Program funds. </td>

                                    <td>02/21/2012</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Guideline</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2012/02/13/Amplifying-Guidance-Relating-to-the-Reporting-of-Sentinel-Events-and-Personally-Identifiable-Informa"" >HA-Policy 12-003</a>

                                            </td>

                                                                            <td>Amplifying Guidance Relating to the Reporting of Sentinel Events and Personally Identifiable Information Breaches to the Office of the Assistant Secretary of Defense (Health Affairs)</td>

                                    <td>This memorandu tion Program</td>

                                    <td>This instruction establishes policy, assigns responsibilities, and prescribes uniform guidelines, procedures, and standards for improvements to the care, management, and transition of recovering Service members (RSMs) across the Military Departments. </td>

                                    <td>12/01/2009</td>

                                        <td>DoD</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2009/09/21/Policy-Memorandum---Military-Health-System-Data-Quality-Management-Control-Program--Revised-Reportin"" >HA Policy 09-019</a>

                                            </td>

                                                                            <td>Policy Memorandum - Military Health System Data Quality Management Control Program, Revised Reporting Documents</td>

                                    <td>Poli Accountability Act of 
1996 (HIPAA), Title 5 United States Code Section  552A , and Title 10 United States Code 
Section 1102.","DHA Policies Directory — DHA Policies Directory — section.<td> — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.in Reference (b), members of the Uniformed Services are entitled to medical and dental care in military treatment facili — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.tion Program</td> — https://www.health.mil/Reference-Center/Policies",OK,Extracted from top-ranked chunks.
91,What instruction governs medical facility maintenance?,"<td>This instruction reissues and renames DOD Instruction 6015.17 (Reference (b)) to establish policy, assign responsibilities, provide guidance, and prescribe procedures for management of MHS facility assets throughout their life cycle. </td>

                                    <td>01/13/2012</td>

                                        <td>DoD</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Instruction</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2011/11/22/Maintenance-of-Psychological-Health-in-Military-Operations"" target=&quot;_blank&quot;>DODI 6490.05</a>

                                            </td>

                                                                            <td>Maintenance of Psychological Health in Military Operations</td>

                                    <td>This instruction establishes policy and assigns responsibilities in accordance with References (c), (d), and (e) for developing combat and oper Notify the department chief and/or safety officer about the danger tag. See 
DAFMAN 91 -203, Air Force Occupational Safety, Fire, and Health Standards , for the 
proper use of mishap prevention tags. If no alternatives exist and the medical provider determines the equipment will 
remain in service for the patient, maintenance activity will document the decision with the 
deployed site MTF Patient Safety Officer or equivalent and immediately remove the 
equipment from service when replaced, no longer needed, or if Patient Safety Officer 
directs removal of the equipment. Unscheduled Maintenance and Repair.","DHA Policies Directory — DHA Policies Directory — section.<td>This instruction reissues and renames DOD Instruction 6015.17 (Reference (b)) to establish policy, assign responsibi — https://www.health.mil/Reference-Center/Policies; DAFI41-230 — dafi41-230 — section.ures as applicable. (T-0) — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf",OK,Extracted from top-ranked chunks.
92,Who is responsible for life safety compliance in MTFs?,"hiefs and AFSC functional training managers; and a review of the 
individual’s current training status and requirements. Manages weapon s authorizations for assigned UTCs in accordance with the AFMS 
Arming Requirements document posted on the AF Medical Readiness SharePoint® Site. For pilot units, maintains pilot unit program management oversight and acts as liaison 
to the MEFPAK Responsible Agency. Provides oversight of the Response Training and Assessment Program, establishing 
preparedness priorities and assisting the Wing/Delta/Garrison Inspection Team Medical 
Representative in the development of exercises using capability -based objectives. Provides oversight and support to Installation Medical All Hazard Response Team 
Chiefs. Appoints team members using MRDSS.",DAFI41-106 — dafi41-106 — section.hiefs and AFSC functional training managers; and a review of the — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-106.pdf,OK,Extracted from top-ranked chunks.
93,What guidance governs medical emergency preparedness?,"ssen the severity  or 
impact a potential disaster may have on its operation; plans for use 
of SG05 and SG06 supplies and pharmaceuticals. Outline the roles 
of the Medical Emergency Manager and Public Health Emergency 
Officer in preparedn ess and mitigation  
Internal  & External 
Coordination  Unit (internal) coordination and installation response partners 
(external); mutual aid agreements and other pre -coordination 
activities  with local  hospitals  and community  response  partners  
Command  and Control  Organizational  structure  used for response  (Incident  Management 
System/Incident Command System); roles of the Medical 
Emergency Manager and Public Health Emergency Officer  
Communication  Information flow and procedures for command and c ontrol 
including:  internal/external  communication,  reporting  requirements, 
maintaining situational awareness, operating log of events and 
preparing/submitting input for the common operating picture  
Recovery  Procedures for an orderly return to normal operations; roles of the 
Medical  Emergency  Manager  and Public  Health  Emergency  Officer 
in recovery activities  
Recalls  Recall  response  standards,  procedures  for Emergency 
Officer (or representative)  Public Health 
Emergencies  - Collaboration with installation 
emergency management officials in 


DAFI41 -106  29 JULY 2020  21 
Permanent Members  Agenda Topic  Briefs the Status of: (T -2) 
preparing for, declaring, responding to, 
and recovering from a public health 
emergency, as necessary  
- Current public health and/or medical 
threats  
- Required equipment and medications 
for current threats  
- Threat Working Group updates  
Medical Logistics Officer (or 
representative)  Medical 
Logistics  - Assigned war reserve materiel, 
including force protection assets such 
as anti-malaria/cholera program and 
biological/chemical warfare antidotes, 
facility expansion assets, etc. - War reserve materiel maintained for 
other units  
- Get-well plans and projected get -well 
dates for any deficiencies  
AFSC Functional Training 
Managers1 CMRP  - CMRP Category I and Category II 
training  
- CMRP gap analysis . Note : completion 
dates will be tracked for each AFSC and 
documented in meeting minutes  
- CMRP clinical gaps resolution efforts  
- CMRP gaps get -well plans and projected 
get-well dates  
- CMRP st atus of personnel tasked t ormal operations; roles of the 
Medical  Emergency  Manager  and Public  Health  Emergency  Officer 
in recovery activities  
Recalls  Recall  response  standards,  procedures  for activation  and assembly  
Medical  Continuity  of 
Operations  Procedures  for medical  continuity  of operations,  to include  functions 
of the Information Systems Disaster Response Team.",DAFI41-106 — dafi41-106 — section.ssen the severity  or — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-106.pdf; DAFI41-106 — dafi41-106 — section.Emergency — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-106.pdf; DAFI41-106 — dafi41-106 — section.ormal operations; roles of the — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-106.pdf,OK,Extracted from top-ranked chunks.
94,What AFI governs disaster response planning?,"2, Air Force Incident Management System (AFIMS) Standards 
and Procedures, for installation plan guidance. Annexes should also include prepare, response 
and recovery common core activities, as applicable, to identify specific unit actions to thre ats 
listed in Table 3.2 . 38 DAFI41 -106  29 JULY 2020  
Table 3.1. Title  Describes  
General  Instructions  Organizational  structure,  conditions  of execution,  references,  and 
assumptions  
Planning  Factors  Description  of the factors  used in planning  for a medical  response. Some items that may be included are population at risk, unit 
designation (inpatient/outpatient) and other things such as 
capabilities and hours of operation; how the unit partners with the 
community as part of the hospital coalition or consortium  
Preparedness/Mitigation  Procedures  for augmenting  supplies,  equipment  and personnel  
during emergencies; actions the unit will undertake to mitigate or 
the retrofitting measures be fore disasters to lessen the severity  or 
impact a potential disaster may have on its operation; plans for use 
of SG05 and SG06 supplies and pharmaceuticals. Outline the roles 
of the Medical Emerg","DAFI41-106 — dafi41-106 — section.2, Air Force Incident Management System (AFIMS) Standards — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-106.pdf",OK,Extracted from top-ranked chunks.
95,What policy governs mass casualty operations?,"cold, hurricanes, tornadoes, floods, etc. as 
appropriate, based on local vulnerabilities/threats specific to the 
installation; activation of installation medical all hazard response teams  
C – C – Enemy CBRNE 
Attack  Procedures  for units  in medium  and high threat  areas. Not applicable  to 
units in low threat areas unless directed by the MAJCOM. D – All Hazards  Actions  based  on the all hazards  risk management  process. Reference  
AFI 10 -2501 for more information  
E – Internal  
Emergencies  Procedures for responding to internal facility emergencies, such as fire, 
power outage, structural damage, flooding, active shooter, 
hostage/combative person, evacuation, shelter -in-place, hazmat spill, 
patient  surge,  infant/child  abduction,  and bomb  threat. Refer  to medical 
continuity of oper ations procedures outlined in the basic plan.","DAFI41-106 — dafi41-106 — section.cold, hurricanes, tornadoes, floods, etc. as — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-106.pdf",OK,Extracted from top-ranked chunks.
96,What instruction governs fire safety inspections?,"ediately impound equipment (do not change the settings) and consumables 
involved in a patient safety incident, notify the maintenance activity and conduct an incident 
report IAW paragraph 9.13 . Clean equipment IAW infection control policies, see AFI 44 -108 prior to, and after 
routine maintenance. Scheduled Maintenance. Perform scheduled maintenance IAW the individual equipment device code. The maintenance activity will not extend maintenance intervals for WRM or 
contingency equipment. For equipment that cannot be removed from the area of service in a deployed location 
(i.e., fixed or hard -wired device, failure to meet scheduled maintenance safety standards), affix 
a AF Form 979, Danger Tag , to the equipment until the problem is corrected IAW Title 29 
CFR, Chapter 17, Subpart J, General Environmental Controls , Section 1910.145, 
Specifications for Accident Prevention Signs and Tags .",DAFI41-230 — dafi41-230 — section.ediately impound equipment (do not change the settings) and consumables — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf,OK,Extracted from top-ranked chunks.
97,What guidance governs infrastructure funding requests?,"ance of Travel and Transportation Benefits from Non -Federal Sources. The traveler 
must comply with Federal ethics laws in accordance with  DoDD 5500.07 , “Joint Ethics Regulation ,” and 
the Agency’s or Service’s ethics regulations and rules. Rules pertaining to acceptance of travel and 
transportation benefits, including gifts, favors, and special accommodations from non- Federal sources, 
must be followed. When accepting travel and related expenses from non -Federal sources in accordance 
with 31 U.S.C. §1353 , it is considered official travel; therefore, the provisions outlined in par. 010205 
regarding use of the DTS apply.",JTR — JTR — section.ance of Travel and Transportation Benefits from Non -Federal Sources.  The traveler — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\JTR.PDF,OK,Extracted from top-ranked chunks.
98,What policy governs facility renovation approval?,"anges to education and training programs that result in a change to 
the HPERB president approved requirement (i.e., length of training, type of degree, subject or 
specialty area, etc.). The ap propriate office within AFPC/DPMN will prepare a position paper 
with recommendations for approval/disapproval to AF/SG1 who coordinates appropriate 
action with the HPERB President. Students enrolled in AFIT- sponsored civilian, Army, Navy, othe r DoD, or 
intragovernmental program must submit written requests through their program director or 
academic advisor to the AFIT Civilian Institution Medical Division for endorsement to 
AFPC/DPMN. Students involved with in -house training must sub mit requests, through 
their program director and DME, to AFPC/DPMN. ( T-2) Students training in deferred or re -
deferred status submit requests, through their program director to AFPC/DPMN. Students enrolled in a USAFSAM -sponsored civilian, othe r DoD, or 
intragovernmental program must submit written requests through their program director or 
academic advisor to USAFSAM/ OGME for endorsement to AFPC/DPMN.",AFI41-117 — afi41-117 — section.anges to education and training programs that result in a change to — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-117.pdf,OK,Extracted from top-ranked chunks.
99,What instruction governs emergency management exercises?,"to the  greatest 
extent possible. At least one of the two annual installation medical all hazard response 
exercises must include an influx of simulated patients in sufficient numbers to 
adequately test the organization's resources and reactions under stress. At least one of the two annual installation medical all hazard response 
exercises will be designed as an escalating event in which the local community is 
unable to provide support. Tabletop exercises are acceptable in meeting the community 
portion of this exercise. Comply with after action reporting and documentation requirements in accordance with 
paragraph 6.4  of this instruction for all exercises. (T-3) 


DAFI41 -106  29 JULY 2020  55 
5.2.",DAFI41-106 — dafi41-106 — section.to the  greatest — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-106.pdf,OK,Extracted from top-ranked chunks.
100,What AFI governs installation support agreements impacting MTF operations?,"n any service 
maintenance contract to retain currency. Enforce mandatory use of DLA -TS Prime Vendor ( PV) contracts for 
pharmaceutical and consumable medical supplies equivalents. Act as the Inventory Adjustment Approval Authority ( IAAA) to approve 
Inventory Adjustment Vouchers ( IAVs). The MTF Commander (or equivalent) may 
delegate the role of the IAAA to the Deputy Commander or Administrator (or equivalent). Act as the approval authority for specific MEDLOG external unit support 
agreements. Note:  Consider third party MEDLOG labor costs as AD staffing and DAF end 
strength are not augmented for local Memoranda of Agreement ( MOAs).",DAFI41-230 — dafi41-230 — section.n any service — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf,OK,Extracted from top-ranked chunks.
